,,cluster_community,cluster_detentionCentre,cluster_education,cluster_highRisk,cluster_import,cluster_religious,cluster_workplace,rtk-ag,pcr,cases_import,cases_new,cases_recovered,Checkins number,beds_pkrc,admitted_pui_pkrc,admitted_covid_pkrc,admitted_total_pkrc,discharge_pui_pkrc,discharge_covid_pkrc,discharge_total_pkrc,pkrc_covid_pkrc,pkrc_pui_pkrc,pkrc_noncovid_pkrc,beds_hospital,beds_covid_hospital,beds_noncrit_hospital,admitted_pui_hospital,admitted_covid_hospital,admitted_total_hospital,discharged_pui_hospital,discharged_covid_hospital,discharged_total_hospital,hosp_covid_hospital,hosp_pui_hospital,hosp_noncovid_hospital
2021-07-16,Selangor,1.0,0.0,0.0,1.0,0.0,0.0,3.0,29831,19974,2,5512,2472,3774227,5146,0,267,267,0,255,255,2140,5,0,6452,3336,6027,142,361,503,72,206,278,3163,261,1787
2021-07-17,Johor,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5267,5424,0,625,430,2040495,2562,0,267,267,0,171,171,1979,0,0,5160,1521,4973,158,128,286,87,110,197,1026,231,2786
2021-07-17,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2715,2158,0,701,323,727186,540,0,70,70,0,56,56,385,0,0,2664,648,2539,1,83,84,0,43,43,594,6,1405
2021-07-17,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2209,3239,0,317,223,718168,2908,78,200,278,3,209,212,1629,59,0,2250,842,2182,9,70,79,19,49,68,475,69,864
2021-07-17,Selangor,0.0,0.0,0.0,1.0,0.0,0.0,2.0,24264,22032,4,4985,2793,4074797,5146,0,327,327,3,353,356,2178,6,0,6452,3375,6027,97,445,542,59,261,320,3301,273,1736
2021-07-18,Johor,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3591,4435,1,808,499,1996550,2562,0,216,216,0,206,206,1970,0,0,5160,1521,4973,131,150,281,87,118,205,1042,210,2919
2021-07-18,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3201,1669,0,696,320,781682,540,1,70,71,0,70,70,370,1,0,2664,648,2539,5,97,102,0,41,41,622,12,1408
2021-07-18,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981,2739,0,369,194,575738,2908,2,269,271,4,140,144,1758,56,0,2250,842,2182,30,39,69,26,30,56,327,241,824
2021-07-18,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22031,14924,2,4828,2113,3741223,5146,2,382,384,1,377,378,2178,7,0,6452,3391,6027,61,470,531,38,338,376,3441,259,1730
2021-07-19,Johor,2.0,0.0,0.0,0.0,1.0,0.0,4.0,4797,4324,4,876,313,2247501,2562,0,351,351,0,198,198,2117,0,0,5160,1521,4973,143,152,295,114,130,244,1083,202,2941
2021-07-19,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3283,3699,0,705,415,831000,540,0,81,81,0,55,55,372,1,0,2664,744,2539,5,108,113,0,40,40,682,5,1389
2021-07-19,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2717,3950,0,475,250,797283,2908,7,215,222,10,149,159,1822,47,0,2250,842,2182,9,60,69,20,47,67,509,59,739
2021-07-19,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33042,15546,40,4404,2379,4603959,5146,1,249,250,6,320,326,2123,8,0,6452,3391,6027,45,310,355,44,164,208,3704,357,1899
2021-07-20,Johor,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1675,4122,0,793,477,1326980,2562,0,381,381,0,177,177,2308,0,0,5160,1521,4973,175,175,350,112,146,258,1121,235,2762
2021-07-20,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1740,2136,0,701,338,329151,540,0,77,77,0,50,50,387,1,0,2664,744,2539,3,115,118,0,59,59,708,13,1533
2021-07-20,Pahang,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1095,3671,0,288,229,342854,2908,13,295,308,0,193,193,1923,66,0,2250,842,2182,10,68,78,18,67,85,504,56,701
2021-07-20,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16949,17683,4,5524,3062,2837397,5146,0,213,213,0,260,260,2153,6,0,6452,3391,6027,79,426,505,236,485,721,3421,214,2191
2021-07-21,Johor,2.0,0.0,1.0,0.0,0.0,0.0,3.0,5169,3975,2,644,300,2056711,2608,0,158,158,0,164,164,2343,0,0,5160,1521,4973,94,199,293,98,121,219,1185,220,2803
2021-07-21,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3436,2864,0,800,310,539861,540,0,95,95,0,56,56,415,0,0,2664,744,2539,2,89,91,0,34,34,720,4,1227
2021-07-21,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2453,2820,0,603,331,633866,2908,4,307,311,10,200,210,2032,60,0,2250,842,2182,10,72,82,17,68,85,447,56,740
2021-07-21,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33961,18812,3,5550,3037,4088796,5146,2,403,405,0,341,341,2203,5,0,6452,3714,5997,85,469,554,31,354,385,3474,224,1743
2021-07-22,Johor,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5229,7005,4,791,362,2125776,2807,0,279,279,0,270,270,2343,0,0,5160,1521,4973,198,211,409,104,135,239,1248,286,2829
2021-07-22,Kedah,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3980,3583,0,701,303,708257,540,0,88,88,0,72,72,419,0,0,2664,744,2539,4,85,89,0,20,20,746,8,1360
2021-07-22,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3047,2616,0,261,392,718360,2908,6,365,371,19,216,235,2192,47,0,2250,842,2182,7,62,69,22,56,78,448,42,760
2021-07-22,Selangor,0.0,0.0,1.0,0.0,0.0,0.0,4.0,34071,21675,7,6049,3882,4231314,5188,1,259,260,0,323,323,2212,5,1,6336,3794,5911,65,585,650,70,369,439,3483,202,2172
2021-07-23,Johor,1.0,0.0,0.0,2.0,0.0,0.0,2.0,5212,6872,1,722,407,2043758,2807,0,474,474,0,389,389,2422,0,0,5160,1521,4973,157,169,326,105,151,256,1259,271,2774
2021-07-23,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3311,2973,0,937,633,616710,540,0,56,56,0,69,69,401,0,0,2664,744,2539,8,66,74,0,43,43,745,11,1330
2021-07-23,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2313,3727,9,457,230,745930,3106,7,210,217,4,149,153,2255,50,0,2250,842,2182,12,52,64,15,50,65,492,39,829
2021-07-23,Selangor,2.0,0.0,0.0,1.0,0.0,1.0,1.0,31344,23350,10,7672,4303,4334132,5188,0,316,316,0,385,385,2212,4,0,6336,3910,5899,95,638,733,67,481,548,3456,346,1754
2021-07-24,Johor,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5914,5093,8,804,298,1994948,2816,0,266,266,0,258,258,2419,0,0,5160,1562,4973,124,207,331,89,136,225,1322,244,2789
2021-07-24,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3048,2026,0,867,478,674817,540,0,62,62,0,37,37,388,0,0,2664,744,2539,11,124,135,0,47,47,781,13,1300
2021-07-24,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2480,3041,0,406,193,641900,3106,3,269,272,1,133,134,2385,54,0,2250,842,2182,17,76,93,20,52,72,505,36,739
2021-07-24,Selangor,3.0,0.0,0.0,0.0,0.0,0.0,2.0,27243,20688,3,7351,4172,4119203,5188,1,333,334,0,325,325,2226,8,81,6336,4015,5899,95,476,571,60,343,403,3668,334,1683
2021-07-25,Johor,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3772,4975,0,950,566,1874711,2816,0,267,267,0,327,327,2350,0,0,5160,1582,4973,129,165,294,116,143,259,1332,259,2806
2021-07-25,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3362,1872,0,1216,602,695591,540,0,33,33,0,59,59,352,0,0,2664,744,2539,12,108,120,0,52,52,813,21,1339
2021-07-25,Pahang,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2081,3072,0,424,198,521324,3106,0,282,282,13,134,147,2528,39,0,2250,842,2182,18,56,74,10,40,50,516,34,729
2021-07-25,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,3.0,23141,16742,1,8500,4645,3504139,5188,14,453,467,0,419,419,2285,10,0,6336,4030,5899,77,492,569,51,338,389,3663,287,1697
2021-07-26,Johor,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5973,4131,0,1449,429,2101393,2816,0,388,388,0,310,310,2422,0,0,5160,1582,4973,115,186,301,111,165,276,1348,259,2789
2021-07-26,Kedah,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4088,3534,1,1160,593,725805,540,0,58,58,0,78,78,315,0,0,2664,744,2539,4,128,132,0,59,59,859,18,1293
2021-07-26,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3383,3774,0,386,344,737570,3106,16,229,245,5,202,207,2558,50,0,2250,842,2182,9,42,51,10,48,58,548,43,731
2021-07-26,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,3.0,41143,14854,1,6508,4348,4152031,4556,1,404,405,1,372,373,2372,12,0,6336,4092,5891,96,543,639,56,359,415,3742,244,1718
2021-07-27,Johor,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5285,5864,1,907,280,2140939,2819,0,403,403,0,465,465,2387,0,0,5160,1598,4973,161,220,381,98,193,291,1353,274,2902
2021-07-27,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4419,3055,0,1000,501,724223,540,0,53,53,0,75,75,285,0,0,2664,744,2539,8,138,146,0,77,77,859,13,1254
2021-07-27,Pahang,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2689,4436,0,403,395,742288,3106,3,296,299,3,233,236,2572,44,0,2250,842,2182,7,57,64,10,51,61,509,42,791
2021-07-27,Selangor,1.0,0.0,0.0,1.0,0.0,0.0,4.0,34615,17693,3,6616,5235,4266994,4556,1,342,343,3,382,385,2415,9,0,6336,4169,5935,57,684,741,54,437,491,3793,251,1570
2021-07-28,Johor,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5390,5839,0,767,708,2160791,2819,0,265,265,0,283,283,2367,0,0,5160,1600,4973,112,256,368,98,172,270,1407,263,2922
2021-07-28,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4552,2978,0,1112,504,728981,540,1,77,78,0,61,61,286,1,0,2664,974,2539,9,124,133,1,58,59,915,18,1328
2021-07-28,Pahang,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2563,4142,0,429,157,741120,3106,7,215,222,5,211,216,2571,49,0,2250,842,2182,20,66,86,9,71,80,505,52,731
2021-07-28,Selangor,0.0,0.0,1.0,0.0,0.0,0.0,4.0,30417,16753,2,7171,5005,4327708,4536,0,516,516,0,335,335,2602,11,0,6336,4271,5935,96,581,677,116,409,525,3703,244,1635
2021-07-29,Johor,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5591,7597,8,1054,606,2092225,2830,0,382,382,0,373,373,2366,0,0,5160,1600,4973,165,241,406,129,169,298,1462,313,2777
2021-07-29,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3807,3915,0,1212,711,703209,540,1,85,86,0,59,59,304,1,0,2664,974,2539,3,133,136,0,50,50,931,9,1298
2021-07-29,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3261,4012,0,638,71,732426,3106,4,369,373,2,263,265,2666,51,0,2250,842,2182,11,71,82,15,60,75,512,48,825
2021-07-29,Selangor,0.0,0.0,0.0,2.0,0.0,0.0,4.0,30712,18131,3,7163,6061,4266014,4536,0,424,424,0,331,331,2601,7,0,6336,4242,5935,81,523,604,63,516,579,3862,233,1553
2021-07-30,Johor,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3887,10180,1,1104,472,2050196,2833,0,268,268,0,319,319,2306,0,0,5160,1600,4973,148,236,384,90,174,264,1501,318,2662
2021-07-30,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4110,3653,0,1281,133,598158,540,0,75,75,0,47,47,324,0,0,2664,974,2532,9,122,131,1,60,61,939,9,1238
2021-07-30,Pahang,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2178,4229,0,540,248,584666,3106,4,424,428,10,221,231,2564,44,0,2250,842,2161,18,64,82,14,67,81,502,51,759
2021-07-30,Selangor,0.0,0.0,1.0,0.0,0.0,0.0,5.0,28906,17425,14,6092,5480,4212942,4536,0,350,350,0,241,241,2772,7,0,6336,4494,5943,48,748,796,69,521,590,3862,243,1651
2021-07-31,Johor,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5169,9017,0,1144,419,2011701,2833,0,297,297,0,285,285,2302,0,0,5160,1600,4973,132,222,354,97,180,277,1524,295,2723
